IATA_ID,Name,Updated Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CAAW,SHEARWATER RCS,Shearwater Rcs,71264,8205092,44.62984,-63.51329,25.2,MSC,CA,AUTO,Nova Scotia
CABF,BURGEO NL,Burgeo Nl,71152,8400801,47.613,-57.6103,8.7,MSC,CA,AUTO,Newfoundland and Labrador
CABH,WINTERLAND BRANCH HILL,Winterland Branch Hill,73080,8404242,47.136501,-55.326322,30.26,MSC,CA,AUTO,Newfoundland and Labrador
CABR,BEDFORD RANGE,Bedford Range,71325,8200574,44.745555,-63.660278,10,DND,CA,AUTO,Nova Scotia
CACM,CORMACK RCS,Cormack Rcs,71367,8401295,49.322,-57.3934,167.4,MSC,CA,AUTO,Newfoundland and Labrador
CACP,BACCARO PT,Baccaro Pt,71920,8200255,43.450862,-65.471646,4.825,MSC,CA,AUTO,Nova Scotia
CACQ,MIRAMICHI RCS,Miramichi Rcs,71744,8100989,47.0094,-65.465,31.5,MSC,CA,AUTO,New Brunswick
CADL,DANIEL'S HARBOUR,Daniel'S Harbour,73024,8401405,50.236388,-57.581111,25,MSC,CA,AUTO,Newfoundland and Labrador
CADN,DOAKTOWN AUTO RCS,Doaktown Auto Rcs,71038,8101201,46.58525,-66.009833,41.3,MSC,CA,AUTO,New Brunswick
CADS,ST LAWRENCE,St Lawrence,71110,8403619,46.9167,-55.3833,50.5,MSC,CA,AUTO,Newfoundland and Labrador
CAEI,ESKASONI FIRST NATION,Eskasoni First Nation,71175,8201780,45.9206,-60.6469,23.1,MSC,CA,AUTO,Nova Scotia
CAFC,FREDERICTON CDA CS,Fredericton Cda Cs,71668,8101605,45.920357,-66.609116,34.355,MSC,CA,AUTO,New Brunswick
CAFY,FUNDY PARK (ALMA) CS,Fundy Park (Alma) Cs,71191,8101746,45.597177,-64.953136,42.5,MSC,CA,AUTO,New Brunswick
CAGL,COLLEGEVILLE AUTO,Collegeville Auto,71698,8201001,45.490194,-62.016167,78.2,MSC,CA,AUTO,Nova Scotia
CAHD,HALIFAX DOCKYARD,fort macleod Agcm,71328,8202240,44.655277,-63.575833,5,DND,CA,AUTO,Nova Scotia
CAHK,HALIFAX KOOTENAY,Halifax Kootenay,71326,8202252,44.5875,-63.55,63.5,DND,CA,AUTO,Nova Scotia
CAHR,HARRINGTON CDA CS,Harrington Cda Cs,71350,830P001,46.34378,-63.16974,53.2,MSC,CA,AUTO,Prince Edward Island
CAHT,CHETICAMP HIGHLANDS NATIONAL PARK,Cheticamp Highlands National Park,73023,8200828,46.65112,-60.95466,17,MSC,CA,AUTO,Nova Scotia
CAHV,HAPPY VALLEY - GOOSE BAY,Happy Valley - Goose Bay,73120,8501915,53.306394,-60.362642,39.7,MSC,CA,AUTO,Newfoundland and Labrador
CAHW,HALIFAX WINDSOR PARK,Halifax Windsor Park,71327,8202255,44.656944,-63.608056,56.5,DND,CA,AUTO,Nova Scotia
CAJT,STEPHENVILLE RCS,Stephenville Rcs,71159,8403820,48.5614,-58.5661,60,MSC,CA,AUTO,Newfoundland and Labrador
CAJW,ST JOHNS WEST CLIMATE,St Johns West Climate,71250,8403603,47.5134,-52.7833,110,MSC,CA,AUTO,Newfoundland and Labrador
CAKC,KOUCHIBOUGUAC,Kouchibouguac,71670,8102326,46.789277,-65.013056,22.5,MSC,CA,AUTO,New Brunswick
CAMR,MILLERTOWN CLIMATE,Millertown Climate,71856,8402757,48.8167,-56.5344,214,MSC,CA,AUTO,Newfoundland and Labrador
CAMS,MECHANIC SETTLEMENT,Mechanic Settlement,71787,8102848,45.693611,-65.165,404.3,MSC,CA,AUTO,New Brunswick
CANH,STANHOPE,Stanhope,,8300590,46.415013,-63.075932,2.3,MSC,CA,AUTO,Prince Edward Island
CANR,ALDERSVILLE,Aldersville,73081,8204020,44.827083,-64.509025,238.5,MSC,CA,AUTO,Nova Scotia
CAOH,UPPER STEWIACKE RCS,Upper Stewiacke Rcs,71753,8204193,45.233055,-63.055278,25.3,MSC,CA,AUTO,Nova Scotia
CAOS,OSBORNE HEAD,Osborne Head,71324,8204190,44.612777,-63.4225,30,DND,CA,AUTO,Nova Scotia
CAPB,PORT-AUX-BASQUES,Port-Aux-Basques,73026,8402980,47.573416,-59.153094,41.2,MSC,CA,AUTO,Newfoundland and Labrador
CAPR,PARRSBORO,Parrsboro,71493,8204402,45.413366,-64.346317,30.89,MSC,CA,AUTO,Nova Scotia
CAQY,SYDNEY CS,Sydney Cs,71758,8205702,46.1633,-60.0417,63.5,MSC,CA,AUTO,Nova Scotia
CARP,RED PINES,Red Pines,71634,8104295,47.439563,-65.597925,125.5,MSC,CA,AUTO,New Brunswick
CASB,SABLE ISLAND,Sable Island,73025,8204708,43.93145,-60.00837,6.3,MSC,CA,AUTO,Nova Scotia
CASF,SUSSEX FOUR CORNERS,Sussex Four Corners,71656,8105210,45.741666,-65.529167,59.4,MSC,CA,AUTO,New Brunswick
CAUU,LOUISBOURG,Louisbourg,71596,8203163,45.90167,-59.99611,16.5,MSC,CA,AUTO,Nova Scotia
CAVA,BONAVISTA,Bonavista,71178,8400601,48.667316,-53.112173,26,MSC,CA,AUTO,Newfoundland and Labrador
CAWR,WRECKHOUSE,Wreckhouse,71180,8404343,47.713697,-59.306315,33.7,MSC,CA,AUTO,Newfoundland and Labrador
CBAR,NICHOLSON PENINSULA,Nicholson Peninsula,73230,2202751,69.92551,-128.97344,88,DND,DND-AWOS,AUTO,Northwest Territories
CBBC,Bella Bella Campbell Island,Bella Bella Campbell Island,71582,1060815,52.18512,-128.1568,43,NAV CANADA,NC-AWOS,AUTO,British Columbia
CCPY,PELLY RANCH FORT SELKIRK,Pelly Ranch Fort Selkirk,73013,2100881,62.833388,-137.312242,443.276,MSC,CA,AUTO,Yukon
CEQI,YARMOUTH RCS,Yarmouth Rcs,71884,8206491,43.830861,-66.08807,37.564,MSC,CA,AUTO,Nova Scotia
