name,_id,run_start_time,run_end_time,status,status_message,nrc_create_necb_prototype_building.building_type,nrc_create_necb_prototype_building.epw_file,nrc_create_necb_prototype_building.template,nrc_report_utility_costs.total_site_energy,openstudio_results.eui
MidriseApartmentON_WindsorNECB2015,001a8d64-e12d-433e-9dd6-3f48b5a8693b,2021-12-24T17:14:14.806Z,2021-12-24T17:21:36.167Z,completed,completed normal,MidriseApartment,ON_Windsor,NECB2015,566900,180.8536167
WarehouseNT_YellowknifeNECB2011,008857aa-f8f0-40fd-94f7-0d75adc6e316,2021-12-24T15:47:47.785Z,2021-12-24T15:50:03.334Z,completed,completed normal,Warehouse,NT_Yellowknife,NECB2011,715500,147.9823477
LargeOfficeYT_WhitehorseNECB2017,0099b5fc-cfa3-428f-ab89-80ad7c804ad3,2021-12-24T18:03:29.315Z,2021-12-24T18:08:23.004Z,completed,completed normal,LargeOffice,YT_Whitehorse,NECB2017,4977000,107.441728
RetailStandaloneBC_VictoriaNECB2011,00ca679e-ab13-4280-9e87-d4fe7be411c2,2021-12-24T16:05:42.749Z,2021-12-24T16:07:58.846Z,completed,completed normal,RetailStandalone,BC_Victoria,NECB2011,393200,171.4116743
RetailStripmallQC_Saguenay-BagotvilleNECB2020,00cab0e0-362c-4f4a-907a-9668bc418a5a,2021-12-24T16:45:37.841Z,2021-12-24T16:48:48.333Z,completed,completed normal,RetailStripmall,QC_Saguenay-Bagotville,NECB2020,439400,210.192432
MidriseApartmentNS_HalifaxNECB2011,00e30728-8798-40c6-9a82-4f2e08f61727,2021-12-24T17:06:05.278Z,2021-12-24T17:12:36.665Z,completed,completed normal,MidriseApartment,NS_Halifax,NECB2011,451600,144.0707315
WarehouseBC_VancouverNECB2015,01482825-327f-41e4-a8b6-adaa81da26f7,2021-12-24T15:42:47.424Z,2021-12-24T15:45:11.000Z,completed,completed normal,Warehouse,BC_Vancouver,NECB2015,465100,96.18838239
MediumOfficeNS_Sydney-McCurdyNECB2020,0183e845-49b8-46b2-9d36-3e257b174d50,2021-12-24T16:21:55.369Z,2021-12-24T16:26:43.896Z,completed,completed normal,MediumOffice,NS_Sydney-McCurdy,NECB2020,681800,136.8507959
RetailStripmallSK_SaskatoonNECB2015,0252a138-eb19-47b3-8e9d-201b993ffe89,2021-12-24T16:46:00.769Z,2021-12-24T16:49:17.025Z,completed,completed normal,RetailStripmall,SK_Saskatoon,NECB2015,576100,275.6170241
WarehouseNL_St.JohnsNECB2020,02b3124a-96b3-4743-88e9-ef1d0a0bbe19,2021-12-24T15:45:22.197Z,2021-12-24T15:48:03.229Z,completed,completed normal,Warehouse,NL_St.Johns,NECB2020,677500,140.1134337
SmallOfficeON_TorontoNECB2011,02cfd347-92fb-42e4-ab93-9df9cd037472,2021-12-24T15:58:42.129Z,2021-12-24T16:00:53.928Z,completed,completed normal,SmallOffice,ON_Toronto,NECB2011,74570,145.8882194
LargeOfficeNB_FrederictonNECB2017,03804ceb-7b6c-41e0-9486-717031c4cd90,2021-12-24T17:44:48.170Z,2021-12-24T18:01:02.415Z,completed,completed normal,LargeOffice,NB_Fredericton,NECB2017,4983000,107.5729397
MediumOfficeMB_Winnipeg-RichardsonNECB2017,038f223c-16f9-43ae-b2ae-a78b2c0386ad,2021-12-24T16:19:12.051Z,2021-12-24T16:23:40.357Z,completed,completed normal,MediumOffice,MB_Winnipeg-Richardson,NECB2017,666100,133.7012438
MidriseApartmentNT_Inuvik-ZubkoNECB2020,039f6f78-b8a6-4547-89c3-097685dff7af,2021-12-24T17:12:36.922Z,2021-12-24T17:20:57.570Z,completed,completed normal,MidriseApartment,NT_Inuvik-Zubko,NECB2020,692800,221.0198752
RetailStandaloneNT_YellowknifeNECB2015,03e7ff75-77e4-4c7a-a63a-e757907bf46b,2021-12-24T16:09:28.598Z,2021-12-24T16:12:22.997Z,completed,completed normal,RetailStandalone,NT_Yellowknife,NECB2015,557500,243.023921
MediumOfficeNS_YarmouthNECB2017,03ffb024-9e6c-40af-ad33-7e55bb9e3618,2021-12-24T16:23:40.522Z,2021-12-24T16:28:48.764Z,completed,completed normal,MediumOffice,NS_Yarmouth,NECB2017,677800,136.0445908
FullServiceRestaurantSK_SaskatoonNECB2020,04a98909-a6aa-45c2-b7f9-3261c8d34a63,2021-12-24T16:56:56.147Z,2021-12-24T16:59:15.860Z,completed,completed normal,FullServiceRestaurant,SK_Saskatoon,NECB2020,197100,385.6717424
MidriseApartmentAB_Fort.McMurrayNECB2015,04f3af5c-607d-4952-971e-7aa6798f2ea5,2021-12-24T16:58:44.615Z,2021-12-24T17:06:08.799Z,completed,completed normal,MidriseApartment,AB_Fort.McMurray,NECB2015,674200,215.0914397
