name,_id,run_start_time,run_end_time,status,status_message,nrc_create_necb_prototype_building.building_type,nrc_create_necb_prototype_building.epw_file,nrc_create_necb_prototype_building.template,nrc_report_utility_costs.total_site_energy,openstudio_results.eui,air_loops_detail_section,annual_overview_section,building_summary_section,calc_choice,cost_summary_section,electricity_cost,envelope_section_section,exterior_light_section,gas_cost,hvac_load_profile,interior_lighting_section,measure_warning_section,monthly_overview_section,outdoor_air_section,plant_loops_detail_section,plug_loads_section,reg_monthly_details,schedules_overview_section,sideload,source_energy_section,space_type_breakdown_section,space_type_details_section,units,utility_bills_rates_section,water_use_section,zone_condition_section,zone_equipment_detail_section,zone_summary_section
FullServiceRestaurantAB_CalgaryNECB2011,7af175ed-b222-4b6a-a956-940ffaf1efe0,2021-12-24T20:07:35.993Z,2021-12-24T20:08:13.701Z,completed,completed normal,FullServiceRestaurant,AB_Calgary,NECB2011,399600,781.6850892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantAB_CalgaryNECB2015,4bb48b07-932f-474f-a653-ec362b64256d,2021-12-24T20:07:44.292Z,2021-12-24T20:08:25.266Z,completed,completed normal,FullServiceRestaurant,AB_Calgary,NECB2015,400300,783.2012782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantAB_CalgaryNECB2017,a12cc668-4e19-44ec-ac65-4c8ad06be3db,2021-12-24T20:08:02.675Z,2021-12-24T20:08:46.666Z,completed,completed normal,FullServiceRestaurant,AB_Calgary,NECB2017,244700,478.7950917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantAB_CalgaryNECB2020,7a79f042-cbd7-43de-81b4-e9e38485a192,2021-12-24T20:08:02.940Z,2021-12-24T20:08:48.863Z,completed,completed normal,FullServiceRestaurant,AB_Calgary,NECB2020,157800,308.7971567,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantAB_Edmonton.Stony.PlainNECB2011,e8daaf88-c495-4ab4-bd10-cf702072a1ba,2021-12-24T20:08:11.503Z,2021-12-24T20:08:48.637Z,completed,completed normal,FullServiceRestaurant,AB_Edmonton.Stony.Plain,NECB2011,447700,875.9387873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantAB_Edmonton.Stony.PlainNECB2015,0d9e3368-4bf5-4cb9-868c-e6894ef60a81,2021-12-24T20:08:13.964Z,2021-12-24T20:08:55.543Z,completed,completed normal,FullServiceRestaurant,AB_Edmonton.Stony.Plain,NECB2015,448400,877.3082483,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantAB_Edmonton.Stony.PlainNECB2017,45fad491-c6b1-4a9a-bb16-0111b68c9bc9,2021-12-24T20:08:14.703Z,2021-12-24T20:08:57.789Z,completed,completed normal,FullServiceRestaurant,AB_Edmonton.Stony.Plain,NECB2017,277600,543.0402035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantAB_Edmonton.Stony.PlainNECB2020,0928d3a8-64f7-4094-bd6a-2e56e94c5faf,2021-12-24T20:08:25.586Z,2021-12-24T20:09:09.449Z,completed,completed normal,FullServiceRestaurant,AB_Edmonton.Stony.Plain,NECB2020,174900,342.2565674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantAB_Fort.McMurrayNECB2011,8f5b24d1-3ea2-4525-80bf-e5da0bdbe9df,2021-12-24T20:08:32.454Z,2021-12-24T20:09:08.744Z,completed,completed normal,FullServiceRestaurant,AB_Fort.McMurray,NECB2011,514000,1005.570228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantAB_Fort.McMurrayNECB2015,ad67ff8a-34cb-4ed6-8dbc-d1e344ca30de,2021-12-24T20:08:36.877Z,2021-12-24T20:09:18.221Z,completed,completed normal,FullServiceRestaurant,AB_Fort.McMurray,NECB2015,514600,1006.836436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantAB_Fort.McMurrayNECB2017,d6cb4109-24e2-4b13-83a1-5ee82f770605,2021-12-24T20:08:46.937Z,2021-12-24T20:09:29.292Z,completed,completed normal,FullServiceRestaurant,AB_Fort.McMurray,NECB2017,329400,644.4237938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantAB_Fort.McMurrayNECB2020,b0593745-8e4e-4185-8b71-e7c893166f5e,2021-12-24T20:08:48.968Z,2021-12-24T20:09:33.636Z,completed,completed normal,FullServiceRestaurant,AB_Fort.McMurray,NECB2020,203100,397.312161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantBC_VancouverNECB2011,f42a8b7e-a314-4788-b1f6-ee1dfc4e31d5,2021-12-24T20:08:49.190Z,2021-12-24T20:09:23.444Z,completed,completed normal,FullServiceRestaurant,BC_Vancouver,NECB2011,244700,478.7081418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantBC_VancouverNECB2015,717b9382-33c7-42d1-b473-097b48e66d7c,2021-12-24T20:08:55.775Z,2021-12-24T20:09:33.902Z,completed,completed normal,FullServiceRestaurant,BC_Vancouver,NECB2015,245800,480.8384145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantBC_VancouverNECB2017,6175b61b-0369-4bf0-bb33-bc392ecfd202,2021-12-24T20:08:58.128Z,2021-12-24T20:09:35.909Z,completed,completed normal,FullServiceRestaurant,BC_Vancouver,NECB2017,163000,318.9105177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantBC_VancouverNECB2020,739b2098-2368-4d96-88f1-45fec4b3da6e,2021-12-24T20:09:09.007Z,2021-12-24T20:09:52.298Z,completed,completed normal,FullServiceRestaurant,BC_Vancouver,NECB2020,111300,217.787777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantBC_VictoriaNECB2011,c4a709b4-bc22-4be7-b9b8-bd17add20862,2021-12-24T20:09:09.780Z,2021-12-24T20:09:44.562Z,completed,completed normal,FullServiceRestaurant,BC_Victoria,NECB2011,248400,486.0499745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantBC_VictoriaNECB2015,5bd7ae5f-caa0-49c1-827e-8e755733be92,2021-12-24T20:09:18.528Z,2021-12-24T20:09:56.458Z,completed,completed normal,FullServiceRestaurant,BC_Victoria,NECB2015,249500,488.1422066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullServiceRestaurantBC_VictoriaNECB2017,dd1403b7-77b2-4a77-9de7-f70fbf7169a0,2021-12-24T20:09:23.793Z,2021-12-24T20:10:02.755Z,completed,completed normal,FullServiceRestaurant,BC_Victoria,NECB2017,163700,320.2038975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
