display_name,display_name_short,export,maximum,measure_id,metadata_id,minimum,name,objective_function,objective_function_group,objective_function_index,output,perturbable,pivot,static_value,units,value_type,visualize,measure_name,measure_display_name,type_of_variable
Building Type,building_type,true,Warehouse,45d7a0b3-32a4-494c-8483-679d405ee751,,Warehouse,nrc_create_necb_prototype_building.building_type,false,,,false,true,false,SmallOffice,,string,true,nrc_create_necb_prototype_building,NrcCreateNECBPrototypeBuilding,variable
eui,eui,true,,0eea12f3-4e3b-4c7e-9d25-d779e9f8f863,,,openstudio_results.eui,false,,,true,false,false,,"",double,true,openstudio_results,OpenStudio Results,output
total_site_energy,total_site_energy,true,,6e93c7aa-7e89-485c-98b1-bec943c560eb,,,nrc_report_utility_costs.total_site_energy,false,,,true,false,false,,,,true,nrc_report_utility_costs,Report Utility Costs,output
Weather file,epw_file,true,CAN_ON_Ottawa-Macdonald-Cartier.Intl.AP.716280_CWEC2016.epw,1e1067d0-b713-421b-b403-86287b5257af,,CAN_ON_Ottawa-Macdonald-Cartier.Intl.AP.716280_CWEC2016.epw,nrc_create_geometry.epw_file,false,,,false,true,false,CAN_BC_Victoria.Intl.AP.717990_CWEC2016.epw,,string,true,nrc_create_geometry,NrcCreateGeometry,variable
Select an option for FDWR,fdwr_options,true,Set specific FDWR,0390b822-d222-4470-a858-6e9baa778dc6,,Set specific FDWR,nrc_set_fdwr.fdwr_options,false,,,false,true,false,Set specific FDWR,,string,true,nrc_set_fdwr,nrc_set_fdwr,variable
Set specific FDWR (if option is selected above). Please enter a number greater than or equal to 0.0 and less than 1.0,fdwr,true,0.4,0390b822-d222-4470-a858-6e9baa778dc6,,0.4,nrc_set_fdwr.fdwr,false,,,false,true,false,0.15,"",double,true,nrc_set_fdwr,nrc_set_fdwr,variable
eui,eui,true,,093b9df0-393a-4672-8316-982161a80087,,,nrc_report.eui,false,,,true,false,false,,"",double,true,nrc_report,NrcReport,output
Weather file,epw_file,true,CAN_ON_Ottawa-Macdonald-Cartier.Intl.AP.716280_CWEC2016.epw,98a29319-d3f2-479f-a2ea-56f079ff973a,,CAN_ON_Ottawa-Macdonald-Cartier.Intl.AP.716280_CWEC2016.epw,nrc_create_geometry.epw_file,false,,,false,true,false,CAN_BC_Victoria.Intl.AP.717990_CWEC2016.epw,,string,true,nrc_create_geometry,NrcCreateGeometry,variable
Select an option for FDWR,fdwr_options,true,Set specific FDWR,175ca611-4b5e-4b8b-bf34-69936ca6878c,,Set specific FDWR,nrc_set_fdwr.fdwr_options,false,,,false,true,false,Set specific FDWR,,string,true,nrc_set_fdwr,nrc_set_fdwr,variable
Set specific FDWR (if option is selected above). Please enter a number greater than or equal to 0.0 and less than 1.0,fdwr,true,0.4,175ca611-4b5e-4b8b-bf34-69936ca6878c,,0.4,nrc_set_fdwr.fdwr,false,,,false,true,false,0.15,"",double,true,nrc_set_fdwr,nrc_set_fdwr,variable
eui,eui,true,,093b9df0-393a-4672-8316-982161a80087,,,nrc_report.eui,false,,,true,false,false,,"",double,true,nrc_report,NrcReport,output
Weather file,epw_file,true,CAN_ON_Ottawa-Macdonald-Cartier.Intl.AP.716280_CWEC2016.epw,f794c7b3-e8cb-438d-897e-4b2010945db5,,CAN_ON_Ottawa-Macdonald-Cartier.Intl.AP.716280_CWEC2016.epw,nrc_create_geometry.epw_file,false,,,false,true,false,CAN_BC_Victoria.Intl.AP.717990_CWEC2016.epw,,string,true,nrc_create_geometry,NrcCreateGeometry,variable
Select an option for FDWR,fdwr_options,true,Set specific FDWR,08a8b6a5-7f16-43ae-b809-8270d3b014e7,,Set specific FDWR,nrc_set_fdwr.fdwr_options,false,,,false,true,false,Set specific FDWR,,string,true,nrc_set_fdwr,nrc_set_fdwr,variable
Set specific FDWR (if option is selected above). Please enter a number greater than or equal to 0.0 and less than 1.0,fdwr,true,0.4,08a8b6a5-7f16-43ae-b809-8270d3b014e7,,0.4,nrc_set_fdwr.fdwr,false,,,false,true,false,0.15,"",double,true,nrc_set_fdwr,nrc_set_fdwr,variable
eui,eui,true,,093b9df0-393a-4672-8316-982161a80087,,,nrc_report.eui,false,,,true,false,false,,"",double,true,nrc_report,NrcReport,output
