name,_id,run_start_time,run_end_time,status,status_message,nrc_create_geometry.aspect_ratio,nrc_create_geometry.building_shape,nrc_create_necb_prototype_building.building_type,nrc_create_necb_prototype_building.location,nrc_create_necb_prototype_building.template,nrc_create_necb_prototype_building.weather_file_type,nrc_reporting_measure_standard.annual_electricity_use,nrc_reporting_measure_standard.annual_natural_gas_use,nrc_reporting_measure_standard.total_site_energy,nrc_reporting_measure_standard.total_site_energy_normalized,a_choice_argument,global_warming,sideload,weather_file_type
MidriseApartment:QC_Quebec:NECB2015,f0e28126-ef9a-4671-9e95-e9b13ed6e033,2023-02-17T00:12:45.814Z,2023-02-17T00:18:50.504Z,completed,completed normal,,,MidriseApartment,QC_Quebec,NECB2015,CWEC2016,536400.0,0.0,171.1,171.1,,,,
MidriseApartment:AB_Fort.McMurray:NECB2017,040a400b-4a30-46c6-8bb9-8bdfe18ab358,2023-02-16T23:58:45.912Z,2023-02-17T00:06:26.697Z,completed,completed normal,,,MidriseApartment,AB_Fort.McMurray,NECB2017,CWEC2016,197200.0,348500.0,174.1,174.1,,,,
LargeOffice:AB_Calgary:NECB2020,4fe1864f-4c21-416f-8d73-e278f97e676c,2023-02-17T00:31:51.590Z,2023-02-17T00:42:15.157Z,completed,completed normal,,,LargeOffice,AB_Calgary,NECB2020,CWEC2016,3301000.0,1091000.0,94.82,94.82,,,,
LargeOffice:MB_Winnipeg:NECB2015,ddd4cd86-3a79-484e-ba02-e24bc5e98e46,2023-02-17T00:39:18.771Z,2023-02-17T00:45:00.919Z,completed,completed normal,,,LargeOffice,MB_Winnipeg,NECB2015,CWEC2016,5577000.0,0.0,120.4,120.4,,,,
QuickServiceRestaurant:SK_Saskatoon:NECB2011,ac51a6ff-9ace-47bd-a22f-f09ad8ddacac,2023-02-17T00:30:13.327Z,2023-02-17T00:34:36.994Z,completed,completed normal,,,QuickServiceRestaurant,SK_Saskatoon,NECB2011,CWEC2016,47140.0,272300.0,1375.0,1375.0,,,,
QuickServiceRestaurant:BC_Victoria:NECB2011,51ce4f4e-c0fc-4fb2-995f-4319e07db09a,2023-02-17T00:21:23.204Z,2023-02-17T00:25:22.528Z,completed,completed normal,,,QuickServiceRestaurant,BC_Victoria,NECB2011,CWEC2016,164400.0,0.0,707.4,707.4,,,,
Warehouse:AB_Edmonton:NECB2020,c2f08066-4037-4c19-be4c-e0041666e17d,2023-02-16T21:58:26.494Z,2023-02-16T22:05:13.011Z,completed,completed normal,,,Warehouse,AB_Edmonton,NECB2020,CWEC2016,221900.0,342300.0,116.7,116.7,,,,
MidriseApartment:AB_Edmonton:NECB2011,a5de81db-7754-41f4-b29a-5082f377c1fb,2023-02-16T23:56:25.697Z,2023-02-17T00:03:52.483Z,completed,completed normal,,,MidriseApartment,AB_Edmonton,NECB2011,CWEC2016,214100.0,289800.0,160.8,160.8,,,,
MediumOffice:NL_St.Johns:NECB2015,8ee1e12c-8da1-47d7-90a8-4676f9614582,2023-02-16T23:09:11.200Z,2023-02-16T23:17:15.582Z,completed,completed normal,,,MediumOffice,NL_St.Johns,NECB2015,CWEC2016,566600.0,0.0,113.7,113.7,,,,
FullServiceRestaurant:NS_Sydney:NECB2017,316a34de-6b8b-4c2e-b4a0-a516421d4385,2023-02-16T23:49:56.926Z,2023-02-16T23:54:34.357Z,completed,completed normal,,,FullServiceRestaurant,NS_Sydney,NECB2017,CWEC2016,77250.0,182300.0,507.8,507.8,,,,
MediumOffice:ON_Toronto:NECB2020,5a5fdc39-24dd-4c21-bc22-b50d6fd46944,2023-02-16T23:16:21.844Z,2023-02-16T23:23:55.904Z,completed,completed normal,,,MediumOffice,ON_Toronto,NECB2020,CWEC2016,372400.0,173900.0,109.7,109.7,,,,
RetailStripmall:YT_Whitehorse:NECB2015,0f26e8dc-084e-48ee-ba8e-28c7e0daa265,2023-02-16T23:40:51.432Z,2023-02-16T23:45:36.235Z,completed,completed normal,,,RetailStripmall,YT_Whitehorse,NECB2015,CWEC2016,386700.0,0.0,185.0,185.0,,,,
QuickServiceRestaurant:AB_Edmonton:NECB2020,403d0365-b3de-43d7-b24d-2c0b1de4832d,2023-02-17T00:19:56.993Z,2023-02-17T00:23:45.351Z,completed,completed normal,,,QuickServiceRestaurant,AB_Edmonton,NECB2020,CWEC2016,34670.0,35550.0,302.2,302.2,,,,
RetailStripmall:BC_Victoria:NECB2015,387035c6-13a7-4102-853e-49ca8a468f10,2023-02-16T23:29:47.907Z,2023-02-16T23:34:45.122Z,completed,completed normal,,,RetailStripmall,BC_Victoria,NECB2015,CWEC2016,400800.0,0.0,191.7,191.7,,,,
FullServiceRestaurant:ON_Toronto:NECB2020,7ce5c78a-a189-483d-b7e8-bbcbfbd4c40a,2023-02-16T23:51:08.446Z,2023-02-16T23:56:09.401Z,completed,completed normal,,,FullServiceRestaurant,ON_Toronto,NECB2020,CWEC2016,64390.0,95590.0,313.0,313.0,,,,
QuickServiceRestaurant:MB_Winnipeg:NECB2011,74b451ee-85f8-4af8-b74d-39333c80bc87,2023-02-17T00:21:59.140Z,2023-02-17T00:26:19.759Z,completed,completed normal,,,QuickServiceRestaurant,MB_Winnipeg,NECB2011,CWEC2016,258300.0,0.0,1112.0,1112.0,,,,
MidriseApartment:NS_Sydney:NECB2015,da18d42c-232b-4f28-a2e1-5bd7a7ca61c8,2023-02-17T00:06:27.239Z,2023-02-17T00:13:41.386Z,completed,completed normal,,,MidriseApartment,NS_Sydney,NECB2015,CWEC2016,210800.0,374600.0,186.7,186.7,,,,
LargeOffice:YT_Whitehorse:NECB2020,1a8c9376-4bec-49bc-967d-e8277d4ce34a,2023-02-17T00:55:42.672Z,2023-02-17T01:01:48.384Z,completed,completed normal,,,LargeOffice,YT_Whitehorse,NECB2020,CWEC2016,4051000.0,0.0,87.45,87.45,,,,
RetailStripmall:ON_Windsor:NECB2020,14d89e72-a5e6-450b-87b2-3f870d92c88c,2023-02-16T23:39:28.918Z,2023-02-16T23:44:46.596Z,completed,completed normal,,,RetailStripmall,ON_Windsor,NECB2020,CWEC2016,263500.0,171200.0,208.0,208.0,,,,
QuickServiceRestaurant:AB_Fort.McMurray:NECB2011,b5c5530b-67f4-4d19-832b-7893a496ebd5,2023-02-17T00:20:07.911Z,2023-02-17T00:23:09.184Z,completed,completed normal,,,QuickServiceRestaurant,AB_Fort.McMurray,NECB2011,CWEC2016,44890.0,295900.0,1467.0,1467.0,,,,
RetailStandalone:YT_Whitehorse:NECB2011,9cb4446e-536e-4d46-985e-4390f3ad2d40,2023-02-16T22:57:22.005Z,2023-02-16T23:02:01.653Z,completed,completed normal,,,RetailStandalone,YT_Whitehorse,NECB2011,CWEC2016,378400.0,0.0,165.0,165.0,,,,
MediumOffice:QC_Quebec:NECB2011,fdd39e13-d5fa-49a4-8c56-9301106b8512,2023-02-16T23:19:14.614Z,2023-02-16T23:24:51.596Z,completed,completed normal,,,MediumOffice,QC_Quebec,NECB2011,CWEC2016,604300.0,0.0,121.3,121.3,,,,
RetailStripmall:BC_Victoria:NECB2020,f44a4b8b-2424-415f-842b-daa125abcf6d,2023-02-16T23:30:00.833Z,2023-02-16T23:35:24.598Z,completed,completed normal,,,RetailStripmall,BC_Victoria,NECB2020,CWEC2016,333700.0,0.0,159.6,159.6,,,,
FullServiceRestaurant:NS_Halifax.Dockyard:NECB2015,8d2c2ec6-915a-4212-ba5f-18a51e12c1b2,2023-02-16T23:47:39.237Z,2023-02-16T23:51:41.545Z,completed,completed normal,,,FullServiceRestaurant,NS_Halifax.Dockyard,NECB2015,CWEC2016,72110.0,305500.0,738.7,738.7,,,,
FullServiceRestaurant:NL_St.Johns:NECB2020,f6ef8708-0552-49ee-89c2-838861d081fd,2023-02-16T23:47:11.880Z,2023-02-16T23:51:42.698Z,completed,completed normal,,,FullServiceRestaurant,NL_St.Johns,NECB2020,CWEC2016,143600.0,0.0,281.0,281.0,,,,
MidriseApartment:SK_Saskatoon:NECB2020,12f8f84d-5f5f-46e3-b1dd-8971b9d92ef4,2023-02-17T00:14:32.179Z,2023-02-17T00:21:58.612Z,completed,completed normal,,,MidriseApartment,SK_Saskatoon,NECB2020,CWEC2016,219000.0,335600.0,176.9,176.9,,,,
MidriseApartment:YT_Whitehorse:NECB2017,18859812-32d9-453b-a805-47b8ba0223c4,2023-02-17T00:16:05.999Z,2023-02-17T00:22:41.165Z,completed,completed normal,,,MidriseApartment,YT_Whitehorse,NECB2017,CWEC2016,385200.0,0.0,122.9,122.9,,,,
